UNM,"Unumprovident Corp.",NYSE,True,29.39
TSO,"Tesoro Petroleum Corp.",NYSE,True,49.34
PRSC,"The Providence Service Corp.",NASDAQ,True,27.96
BIG,"Big Lots",NYSE,False,34.61
TRP,"Transcananda Pipelines",NYSE,True,45.11
MAMS,"Mam Software Group Inc",NASDAQ,False,4.60
QCOM,"Qualcomm Inc.",NASDAQ,True,66.95
ITI,"Iteris",AMEX,True,1.79
IGC,"India Globalization Capital Inc.",AMEX,True,1.30
NE,"Noble Corp.",NYSE,True,39.04
TAI,"Transamerica Income Shares",NYSE,True,20.03
FBNC,"First Bancorp",NASDAQ,True,15.02
PMT,"Pennymac Mortgage Investment Trust",NYSE,True,21.34
SNP,"China Petroleum & Chemical Corp.",NYSE,True,75.41
ZIXI,"Zix Corporation",NASDAQ,True,4.33
LXK,"Lexmark International",NYSE,True,39.76
PLCM,"Polycom",NASDAQ,True,9.74
PHH,"Phh Corp",NYSE,True,22.00
MFSF,"Mutualfirst Financial Inc.",NASDAQ,True,14.97
AWX,"Avalon Holdings Corp.",AMEX,False,4.00
BDN,"Brandywine Realty Trust",NYSE,True,13.02
GNTX,"Gentex Corp.",NASDAQ,True,22.56
IBOC,"International Bancshares Corp.",NASDAQ,True,23.94
CHKE,"Cherokee Inc.",NASDAQ,True,12.16
CERS,"Cerus Corp.",NASDAQ,True,5.46
IMMU,"Immunomedics",NASDAQ,True,5.11
OMI,"Owens & Minor",NYSE,True,35.21
SGRP,"Spar Group",NASDAQ,True,1.76
CNTY,"Century Casinos",NASDAQ,True,4.14
TTGT,"Techtarget",NASDAQ,False,4.54
BCPC,"Balchem Corp.",NASDAQ,True,50.65
SGK,"Schawk",NYSE,True,12.04
TXTR,"Textura Corporation",NYSE,False,33.50
CCBG,"Capital City Bank Group",NASDAQ,True,11.94
PCTI,"Pc-Tel",NASDAQ,True,8.44
ORBK,"Orbotech Ltd",NASDAQ,True,12.14
GLDD,"Great Lakes Dredge & Dock Corp.",NASDAQ,False,6.70
OMER,"Omeros Corp.",NASDAQ,False,4.75
ZAZA,"Zaza Energy Corporation",NASDAQ,False,0.84
NXC,"Nuveen California Tax-Free Income",NYSE,True,13.68
CSH,"Cash America International",NYSE,True,41.44
CTRX,"Catamaran Corp",NASDAQ,False,55.67
MMC,"Marsh & Mclennan Companies",NYSE,True,41.57
OPAY,"Tier Technologies",NASDAQ,True,7.95
ZEUS,"Olympic Steel",NASDAQ,True,27.69
NEON,"Neonode Inc.",NASDAQ,True,6.99
SCHW,"The Charles Schwab Corp.",NYSE,True,21.40
ATMI,"Atmi Inc.",NASDAQ,True,24.30
HIBB,"Hibbett Sports",NASDAQ,True,59.05
PAI,"Pacific American Income Shares",NYSE,True,12.41
THO,"Thor Industries",NYSE,True,52.70
IG,"Igi Laboratories",AMEX,True,1.61
DRYS,"Dryships Inc.",NASDAQ,True,2.12
MZA,"Muniyield Arizona Fund",AMEX,True,13.03
BFK,"Blackrock Muni Income Trust",NYSE,True,12.29
IRF,"International Rectifier Corp.",NYSE,True,24.15
GIMO,"Gigamon Inc.",NYSE,False,37.18
BTN,"Ballantyne Strong Inc",AMEX,False,4.09
NOG,"Northern Oil And Gas",AMEX,True,12.00
CBNJ,"Cape Bancorp",NASDAQ,True,9.36
HAR,"Harman International Industries Inc.",NYSE,True,67.99
CPSS,"Consumer Portfolio Services",NASDAQ,True,6.84
ROSE,"Rosetta Resources Inc.",NASDAQ,False,45.18
HCLP,"Hi-Crush Partners Lp",NYSE,False,22.86
NYLD,"Nrg Yield Inc.",NYSE,False,28.14
